gene_symbol	associated_genes
ZSCAN31	ZSCAN12,ZSCAN23,ZSCAN30,ZNF397,ZKSCAN8,ZSCAN21,ZKSCAN3,ZSCAN9,ZNF165,ZSCAN16,ZNF232,ZNF24,ZKSCAN4,ZSCAN22,ZSCAN2,ZKSCAN1,ZNF394,ZNF197,ZNF75D,ZNF449,ZNF383,ZKSCAN5,ZNF135,ZNF483,ZNF566,ZNF420,ZNF3,ZNF850,ZNF570,ZNF677,ZKSCAN7,ZNF502,ZNF23,ZNF551,ZNF70,ZNF568,ZNF571,ZFP2,ZNF252P,ZNF79,ZNF429,ZNF91,ZNF345,ZNF34,ZNF16,ZNF829,ZNF470,ZNF879,ZNF251,ZNF726,ZNF436,ZNF287,ZNF675,ZNF519,ZNF93,ZNF616,ZNF582,ZNF501,ZNF679,ZNF84,ZNF286A,ZNF883,ZNF84,ZNF211,ZNF569,ZNF816,ZNF572,ZNF30,ZNF852,ZNF37A,ZFP3,ZNF283,ZNF721,ZNF391,ZNF184,ZFP112,ZNF665,ZNF286B,ZNF845,ZNF583,ZNF701,ZNF565,ZNF180,ZNF468,ZNF471,ZNF154,ZNF732,ZNF681,ZNF461,ZNF658,ZNF189,ZNF479,ZNF396,ZNF678,ZNF454,ZNF720,ZNF543,ZNF530,ZNF250,ZNF658B
ZNF394	ZSCAN12,ZNF397,ZKSCAN8,ZSCAN30,ZNF287,ZNF197,ZSCAN22,ZKSCAN3,ZSCAN21,ZNF263,ZKSCAN1,ZNF483,ZNF436,ZNF3,ZSCAN2,MZF1,ZKSCAN7,ZNF34,ZNF189,ZNF852,ZFP3,ZNF420,ZNF250,ZNF582,ZNF502,ZNF286A,ZNF154,ZNF85,ZNF773,ZNF419,ZNF629,ZNF565,ZNF70,ZSCAN31,ZNF554,ZFP2,ZNF485,ZNF813,ZNF583,ZNF678,ZNF135,ZNF92,ZNF79,ZNF761,ZNF184,ZNF566,ZNF16,ZNF479,ZNF43,ZNF720,ZNF253,ZNF93,ZNF100,ZNF677,ZNF480,ZNF570,ZNF883,ZNF140,ZNF10,ZNF91,ZNF345,ZNF550,ZNF879,ZNF331,ZNF211,ZNF626,ZNF708,ZNF675,ZNF681,ZNF623,ZNF84,ZNF544,ZNF84,ZSCAN20,ZNF737,ZNF431,ZNF571,ZNF543,ZNF329,ZNF273,ZNF665,ZNF836,ZNF845,ZNF300,ZNF430,ZNF98,ZNF569,ZNF160,ZNF551,ZNF514,ZNF354C,ZNF107,ZNF572,ZNF850,ZNF730,ZNF461,ZNF383,ZNF180,ZNF460,ZNF660
EFCAB12	ZSCAN1,  GDF9,  NOXRED1,  SCAND3,  ZFHX2,  EFCAB12,  KCNK13,  C9orf96,  FBXL13,  PPIL6,  RSPH4A,  SLC4A8,  LRRC43,  WNK3
SLC4A8	ZSCAN1,  COL20A1,  PTCHD2,  GPR61,  GPR19,  ZFHX2,  LRRTM3,  FAM133A,  TUBB3,  TIGD3,  KSR2,  ZP1,  TUBB4,  LRRC43,  FZD3,  SLC4A8,  FZD9,  GRIK4,  MTMR7
SAP30L	ZRSR2,  TERF1,  MECP2,  ATXN2,  FBXL12,  ZNF592,  CWC22,  SMAD4,  EPC1,  SEC22C,  BRD3,  SOS1,  ASH1L,  SAP30L,  IPO8,  UPF2,  TCF12
OSGEP	ZRSR2,  C1QBP,  ZNF414,  OSGEP,  POM121,  SEC31B,  AGAP6,  DDX51,  TSC1,  FMR1,  C2CD5,  L3MBTL2,  C14orf37,  C17orf70,  ZNF337,  ITFG2,  RBM26,  INPP5E,  ZNF638,  ZNF740
MX1	ZRSR2,  B3GNT1,  NHLRC3,  LPXN,  RFX5,  B3GNT2,  RPL22L1,  TOR3A,  CD40,  TRIM21,  IRF7,  MX1,  PHF11,  EDEM1,  NT5C3,  ZCCHC3,  GTF2B,  NT5C3A,  PARP14,  CLEC2D,  SNX11
TERF2IP	ZRSR2
ZRSR2	ZRSR1,U2AF1,U2AF1L4,UHMK1,RBM46,RBM39,SRSF10
SMARCAL1	ZRANB3,SMARCA5,SMARCA1,CHD1L,CHD2,CHD7,CHD5,CHD3,CHD6,CHD4,CHD9,CHD1,SRCAP,INO80,BTAF1,RAD54B,ERCC6L2,ERCC6L,SMARCAD1,SMARCA2,SMARCA4,TTF2,HELLS,CHD8,ERCC6,HLTF,ATRX,EP400,RAD54L,SHPRH,RAD54L2,DDX41,NCKAP5,DDX17
ZNF799	ZRANB3,  USP49,  RGS5,  SCLY,  PGAM5,  LRRC37A2,  ZNF573,  LRRC37A,  CEP128,  ZNF490,  RPL9,  ERCC8,  ZNF799
LRRC37A	ZRANB3,  RGS5,  LRRC37A2,  PGAM5,  RGPD8,  ZNF573,  LRRC37A,  RGPD5,  RPL9,  ZNF799
GSTT2	ZRANB3,  GSTT2,  METTL20,  C10orf11,  ZNF674,  CYB5RL,  GSTT2B,  TSEN34,  PCDHGB3,  SERPINE3,  RPL9,  ARL17A
GSTT2B	ZRANB3,  GSTT2,  METTL20,  C10orf11,  ZNF674,  CYB5RL,  GSTT2B,  TSEN34,  PCDHGB3,  SERPINE3,  RPL9,  ARL17A
ZC3H13	ZRANB2,PRPF38B
TECTB	ZPLD1,UMOD,TECTA,GP2,UMODL1,FAM24B-CUZD1,OIT3,DMBT1,ZP4
ZPBP2	ZPBP
SPACA4	ZNRF4,  TSPAN16,  ACTL7B,  DDX4,  ACSBG2,  UBL4B,  TSKS,  DEFB119,  RLF,  COX6B2,  HDGFL1,  DEFB123,  IRGC,  ACTL9,  RPL10L,  PIK3R3,  FSCN3,  SPACA4,  CABYR,  SEPT12,  TMCO2
RNF43	ZNRF3,RNF128,RNF215,RNF167,RNF130,RNF150,ZNRF4,RNF149,RNF13,RNF44,RNF38,RNF133,RNF6,RLIM,RNF148,RNF115,RNF165,RNF126,RNF122,RNF111,RNF24,RNF181,RNF11,ZSWIM2,DZIP3,ZNRF2,ZNRF1,PJA1,RNFT2,RNF103,SYVN1,RNF141,GRIN2D,RNF139,AMFR,PJA2,RNF145,BAG6,BAG6,BAG6,BAG6,BAG6,BAG6,BAG6,TTC3,TTC3P1,TESK1
ZNRF1	ZNRF2,RNF111,RNF11,RNF165,RNF130,RNF150,ZNRF4,RNF149,RLIM,SYVN1,RNF43,ZNRF3,RNF128,RNF44,RNF148,RNF167,RNF6,RNF133,RNF122,RNF13,RNF38,RNF126,RNF115,RNF24,PJA1,PJA2,RNF103,RNF181,AMFR,ZSWIM2,RBM12,RNF215
TMEM116	ZNRF2,  COG8,  USP42,  METTL10,  CCDC126,  TTLL5,  HMBOX1,  TMEM116
ZNF493	ZNF99,ZNF91,ZNF729,ZNF208,ZNF43,ZNF254,ZNF107,ZNF429,ZNF726,ZNF681,ZNF728,ZNF85,ZNF93,ZNF98,ZNF721,ZNF92,ZNF676,ZNF708,ZNF257,ZNF431,ZNF160,ZNF675,ZNF347,ZNF430,ZNF492,ZNF737,ZNF273,ZNF90,ZNF616,ZNF836,ZNF546,ZNF680,ZNF845,ZNF624,ZNF780B,ZNF732,ZNF850,ZNF761,ZNF841,ZNF626,ZNF585B,ZNF665,ZNF730,ZNF714,ZNF420,ZNF267,ZNF808,ZFP62,ZNF479,ZNF28,ZNF100,ZNF585A,ZNF607,ZNF600,ZNF234,ZNF534,ZNF569,ZNF84,ZNF84,ZNF226,ZNF224,ZNF197,ZNF184,ZNF268,ZNF658,ZNF658B,ZNF658B,ZNF716,ZNF117,ZNF470,ZNF573,ZNF814,ZNF227,ZNF30,ZNF594,ZNF678,ZNF253,ZNF41,ZNF45,ZNF540,ZNF484,ZNF615,ZFP112,ZNF700,ZNF709,ZNF528,ZNF229,ZNF225,ZNF235,ZNF33A,ZNF682,ZNF141,ZNF23,ZNF135,ZNF433,ZNF486,ZNF14,ZNF16,ZNF717,ZNF132
ZNF492	ZNF98,ZNF85,ZNF737,ZNF708,ZNF254,ZNF726,ZNF257,ZNF93,ZNF430,ZNF676,ZNF92,ZNF431,ZNF681,ZNF493,ZNF273,ZNF91,ZNF208,ZNF728,ZNF675,ZNF429,ZNF730,ZNF99,ZNF729,ZNF626,ZNF100,ZNF714,ZNF43,ZNF680,ZNF90,ZNF117,ZNF479,ZNF107,ZNF253,ZNF732,ZNF716,ZNF682,ZNF721,ZNF486,ZNF678,ZNF141,ZNF718,ZNF695,ZNF506,ZNF665,ZNF720,ZNF347,ZNF160,ZNF568,ZNF616,ZNF727,ZNF420,ZNF813,ZNF880,ZNF471,ZNF345,ZNF135,ZNF836,ZNF83,ZNF195,ZNF184,ZNF679,ZNF735,ZNF528,ZNF534,ZNF845,ZNF569,ZNF28,ZNF267,ZNF226,ZNF235,ZNF761,ZNF841,ZNF45,ZNF546,ZNF502,ZNF16,ZNF470,ZNF808,ZNF607,ZNF227,ZFP28,ZFP62,ZFP2,ZNF879,ZNF84,ZNF84,ZNF234,ZNF850,ZNF585B,ZNF283,ZNF600,ZKSCAN7,ZNF624,ZNF30,ZNF780A,ZNF585A,ZFP112,ZNF583,ZFP82,ZNF287
ZNF670-ZNF695	ZNF98,ZNF431,ZNF92,ZNF737,ZNF726,ZNF257,ZNF680,ZNF273,ZNF708,ZNF429,ZNF682,ZNF43,ZNF93,ZNF732,ZNF675,ZNF730,ZNF85,ZNF479,ZNF492,ZNF678,ZNF430,ZNF729,ZNF626,ZNF728,ZNF91,ZNF254,ZNF493,ZNF100,ZNF253,ZNF208,ZNF681,ZNF727,ZNF99,ZNF714,ZNF716,ZNF141,ZNF90,ZNF676,ZNF718,ZNF117,ZNF736,ZNF107,ZNF665,ZNF486,ZNF195,ZNF506,ZNF720,ZNF283,ZFP14,ZNF420,ZNF721,ZNF780B,ZNF879,ZNF780A,ZNF546,ZNF519,ZNF160,ZNF480,ZNF534,ZNF790,ZNF880,ZNF30,ZNF267,ZNF565,ZFP82,ZNF850,ZFP30,ZNF528,ZNF568,ZNF320,ZNF569,ZNF135,ZNF184,ZNF347,ZNF540,ZNF624,ZNF573,ZNF679,ZNF383,ZNF189,ZNF543,ZNF583,ZNF502,ZNF250,ZNF570,ZNF616,ZNF607,ZNF83,ZNF735,ZNF331,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF461,ZNF34,ZNF571
ZNF695	ZNF98,ZNF431,ZNF92,ZNF737,ZNF726,ZNF257,ZNF680,ZNF273,ZNF708,ZNF429,ZNF682,ZNF43,ZNF93,ZNF732,ZNF675,ZNF730,ZNF85,ZNF479,ZNF492,ZNF678,ZNF430,ZNF729,ZNF626,ZNF728,ZNF91,ZNF254,ZNF493,ZNF100,ZNF253,ZNF208,ZNF681,ZNF727,ZNF99,ZNF714,ZNF716,ZNF141,ZNF90,ZNF676,ZNF718,ZNF117,ZNF736,ZNF107,ZNF665,ZNF486,ZNF195,ZNF506,ZNF720,ZNF283,ZFP14,ZNF420,ZNF721,ZNF780B,ZNF879,ZNF780A,ZNF546,ZNF519,ZNF160,ZNF480,ZNF534,ZNF790,ZNF880,ZNF30,ZNF267,ZNF565,ZFP82,ZNF850,ZFP30,ZNF528,ZNF568,ZNF320,ZNF569,ZNF135,ZNF184,ZNF347,ZNF540,ZNF624,ZNF573,ZNF679,ZNF383,ZNF189,ZNF543,ZNF583,ZNF502,ZNF250,ZNF570,ZNF616,ZNF607,ZNF83,ZNF735,ZNF331,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF461,ZNF34,ZNF571
ZNF730	ZNF98,ZNF431,ZNF273,ZNF492,ZNF254,ZNF726,ZNF737,ZNF708,ZNF92,ZNF85,ZNF257,ZNF675,ZNF430,ZNF100,ZNF429,ZNF91,ZNF93,ZNF626,ZNF493,ZNF43,ZNF729,ZNF728,ZNF479,ZNF680,ZNF208,ZNF681,ZNF253,ZNF90,ZNF714,ZNF676,ZNF716,ZNF732,ZNF99,ZNF486,ZNF718,ZNF141,ZNF682,ZNF117,ZNF107,ZNF506,ZNF695,ZNF678,ZNF735,ZNF679,ZNF720,ZNF721,ZNF727,ZNF420,ZNF160,ZNF736,ZNF528,ZFP14,ZNF565,ZNF880,ZNF546,ZNF568,ZNF665,ZNF569,ZNF480,ZNF780A,ZNF195,ZNF283,ZNF879,ZNF184,ZNF790,ZNF30,ZNF624,ZNF841,ZNF519,ZNF850,ZNF836,ZNF583,ZFP82,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF471,ZNF347,ZNF267,ZFP30,ZNF780B,ZNF543,ZNF571,ZNF502,ZNF83,ZNF540,ZNF383,ZNF699,ZFP2,ZNF616,ZNF135,ZNF607,ZNF331,ZNF287,ZNF234,ZNF45
ZNF737	ZNF93,ZNF85,ZNF98,ZNF626,ZNF708,ZNF90,ZNF92,ZNF429,ZNF728,ZNF726,ZNF254,ZNF675,ZNF273,ZNF257,ZNF431,ZNF493,ZNF492,ZNF681,ZNF430,ZNF91,ZNF43,ZNF208,ZNF253,ZNF729,ZNF100,ZNF730,ZNF99,ZNF676,ZNF680,ZNF714,ZNF479,ZNF486,ZNF732,ZNF678,ZNF506,ZNF117,ZNF716,ZNF107,ZNF141,ZNF682,ZNF718,ZNF695,ZNF721,ZNF160,ZNF420,ZNF727,ZNF880,ZNF665,ZNF735,ZNF679,ZNF534,ZNF283,ZNF720,ZNF546,ZNF347,ZNF568,ZNF30,ZNF813,ZNF234,ZNF528,ZFP14,ZNF879,ZNF184,ZNF519,ZNF850,ZNF569,ZFP82,ZNF471,ZNF616,ZNF841,ZNF571,ZNF780A,ZFP30,ZNF780B,ZNF470,ZNF836,ZNF845,ZNF699,ZNF607,ZNF345,ZNF736,ZNF540,ZNF790,ZNF267,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF83,ZNF565,ZNF543,ZNF624,ZNF195,ZNF135,ZNF227,ZNF28,ZNF84
ZNF90	ZNF93,ZNF85,ZNF429,ZNF737,ZNF254,ZNF726,ZNF708,ZNF729,ZNF91,ZNF728,ZNF92,ZNF43,ZNF99,ZNF681,ZNF98,ZNF675,ZNF208,ZNF493,ZNF257,ZNF676,ZNF626,ZNF273,ZNF492,ZNF431,ZNF732,ZNF430,ZNF730,ZNF253,ZNF100,ZNF107,ZNF486,ZNF714,ZNF680,ZNF479,ZNF506,ZNF678,ZNF716,ZNF721,ZNF117,ZNF160,ZNF420,ZNF665,ZNF141,ZNF682,ZNF718,ZNF528,ZNF571,ZNF234,ZNF534,ZNF813,ZNF695,ZNF347,ZNF761,ZNF780A,ZNF184,ZNF546,ZNF616,ZNF28,ZNF540,ZNF135,ZNF780B,ZNF568,ZFP62,ZNF845,ZNF226,ZNF569,ZNF850,ZNF471,ZNF470,ZNF727,ZNF30,ZNF585B,ZNF880,ZNF699,ZNF816,ZNF45,ZNF624,ZNF836,ZNF720,ZNF224,ZNF283,ZNF709,ZNF607,ZNF735,ZNF14,ZNF679,ZNF791,ZNF84,ZNF841,ZNF84,ZNF605,ZNF227,ZNF235,ZNF573,ZNF229,ZNF736,ZNF225,ZNF879,ZNF182,ZNF484
ZNF732	ZNF93,ZNF728,ZNF141,ZNF726,ZNF91,ZNF429,ZNF708,ZNF208,ZNF85,ZNF254,ZNF729,ZNF681,ZNF721,ZNF43,ZNF92,ZNF99,ZNF676,ZNF493,ZNF90,ZNF675,ZNF257,ZNF98,ZNF431,ZNF737,ZNF273,ZNF479,ZNF430,ZNF492,ZNF730,ZNF718,ZNF678,ZNF107,ZNF680,ZNF626,ZNF716,ZNF714,ZNF253,ZNF682,ZNF695,ZNF117,ZNF420,ZNF665,ZNF780A,ZNF100,ZNF780B,ZNF184,ZNF160,ZNF546,ZNF267,ZNF534,ZNF486,ZNF540,ZNF347,ZNF283,ZNF880,ZNF571,ZNF30,ZNF568,ZNF471,ZNF727,ZNF569,ZNF813,ZNF720,ZNF528,ZNF135,ZNF850,ZNF790,ZNF573,ZNF234,ZNF616,ZNF195,ZNF45,ZNF28,ZNF679,ZNF699,ZNF709,ZNF226,ZNF841,ZNF607,ZNF761,ZNF879,ZNF506,ZNF345,ZNF836,ZNF224,ZNF23,ZNF14,ZNF470,ZNF189,ZNF527,ZNF735,ZNF791,ZNF16,ZNF433,ZNF311,ZNF845,ZNF311,ZNF311,ZNF311,ZNF311
ZNF254	ZNF91,ZNF726,ZNF208,ZNF429,ZNF493,ZNF43,ZNF729,ZNF99,ZNF728,ZNF93,ZNF681,ZNF85,ZNF708,ZNF92,ZNF676,ZNF98,ZNF675,ZNF431,ZNF273,ZNF90,ZNF737,ZNF492,ZNF430,ZNF257,ZNF107,ZNF730,ZNF732,ZNF680,ZNF100,ZNF479,ZNF714,ZNF626,ZNF721,ZNF253,ZNF716,ZNF117,ZNF267,ZNF678,ZNF160,ZNF420,ZNF665,ZNF347,ZNF486,ZNF184,ZNF682,ZNF569,ZNF836,ZNF470,ZNF718,ZNF841,ZNF141,ZNF761,ZNF546,ZNF135,ZNF845,ZNF780B,ZNF534,ZNF45,ZNF624,ZNF585B,ZNF28,ZNF720,ZNF471,ZNF540,ZNF234,ZNF780A,ZNF30,ZNF695,ZNF84,ZNF84,ZNF607,ZNF283,ZNF506,ZNF850,ZNF528,ZNF616,ZNF568,ZNF571,ZNF813,ZNF573,ZNF41,ZNF790,ZNF880,ZFP62,ZNF226,ZNF225,ZNF227,ZNF679,ZNF808,ZNF605,ZNF709,ZNF12,ZNF195,ZNF699,ZNF224,ZNF600,ZNF816,ZNF17,ZNF735,ZNF585A
PRDM5	ZNF91,ZNF226,ZNF709,ZNF208,ZNF729,ZNF726,ZNF234,ZNF99,ZNF43,ZNF791,ZNF93,ZNF420,ZNF184,ZNF624,ZNF761,ZNF845,ZNF85,ZNF160,ZNF84,ZNF84,ZNF658B,ZNF658B,ZNF850,ZNF90,ZNF224,ZNF658,ZNF429,ZNF569,ZNF616,ZNF268,ZNF836,ZFP62,ZNF493,ZNF814,ZNF605,ZNF254,ZNF470,ZNF665,ZNF699,ZNF14,ZNF568,ZNF585A,ZNF135,ZNF33B,ZNF585B,ZNF28,ZNF737,ZNF225,ZNF551,ZNF567,ZNF283,ZNF700,ZNF227,ZNF30,ZNF23,ZNF98,ZNF540,ZNF235,ZNF41,ZNF433,ZNF728,ZNF229,ZNF808,ZNF878,ZNF780B,ZNF45,ZNF600,ZNF484,ZFP112,ZNF347,ZNF708,ZNF534,ZNF17,ZNF799,ZNF267,ZNF676,ZNF492,ZNF675,ZNF345,ZNF546,ZFP28,ZNF16,ZNF33A,ZNF555,ZNF615,ZNF132,ZNF441,ZNF83,ZNF714,ZNF431,ZNF221,ZNF879,ZNF782,ZFP37,ZNF681,ZNF92,ZNF678,ZNF287,ZNF432,ZNF816
ZFP62	ZNF91,ZNF208,ZNF729,ZNF850,ZNF845,ZNF721,ZNF836,ZNF99,ZNF107,ZNF43,ZNF808,ZNF268,ZNF841,ZNF658,ZNF658B,ZNF658B,ZNF197,ZNF624,ZNF493,ZNF160,ZNF585B,ZNF616,ZNF780B,ZNF585A,ZNF546,ZNF814,ZNF420,ZNF347,ZNF594,ZNF184,ZNF600,ZNF761,ZNF665,ZNF227,ZNF607,ZNF226,ZNF229,ZNF717,ZNF429,ZNF93,ZNF234,ZNF84,ZNF84,ZNF700,ZFP112,ZNF473,ZNF224,ZNF709,ZNF484,ZNF28,ZNF569,ZNF225,ZNF726,ZNF14,ZNF30,ZNF433,ZNF676,ZNF573,ZNF135,ZNF470,ZNF23,ZNF443,ZNF16,ZNF534,ZNF41,ZNF418,ZNF728,ZNF254,ZNF45,ZNF791,ZNF132,ZNF85,ZNF17,ZNF681,ZNF235,ZNF615,ZNF605,ZNF778,ZNF33B,ZNF708,ZNF678,ZNF749,ZNF441,ZNF629,ZNF90,ZNF33A,ZNF540,ZNF780A,ZNF267,ZNF611,ZNF283,ZNF345,ZNF606,ZNF571,ZNF189,ZNF799,ZNF337,RBAK,ZNF92,ZNF83
ZNF721	ZNF91,ZNF208,ZNF729,ZNF850,ZNF107,ZNF99,ZNF845,ZNF43,ZFP62,ZNF493,ZNF836,ZNF808,ZNF841,ZNF658,ZNF658B,ZNF658B,ZNF546,ZNF780B,ZNF594,ZNF197,ZNF429,ZNF585B,ZNF160,ZNF585A,ZNF814,ZNF268,ZNF420,ZNF616,ZNF624,ZNF93,ZNF347,ZNF726,ZNF254,ZNF681,ZNF676,ZNF85,ZNF184,ZNF732,ZNF226,ZNF761,ZNF227,ZNF600,ZNF665,ZNF708,ZNF728,ZNF607,ZFP112,ZNF234,ZNF709,ZNF717,ZNF229,ZNF92,ZNF700,ZNF678,ZNF484,ZNF90,ZNF224,ZNF492,ZNF675,ZNF98,ZNF225,ZNF737,ZNF28,ZNF84,ZNF84,ZNF45,ZNF14,ZNF573,ZNF569,ZNF41,ZNF433,ZNF135,ZNF235,ZNF470,ZNF534,ZNF431,ZNF257,ZNF30,ZNF117,ZNF16,ZNF473,ZNF714,ZNF23,ZNF132,ZNF780A,ZNF443,ZNF273,ZNF267,ZNF615,ZNF418,ZNF479,ZNF283,ZNF17,ZNF33B,ZNF629,ZNF540,ZNF571,ZNF430,ZNF345,ZNF778
ZNF850	ZNF91,ZNF208,ZNF729,ZNF845,ZNF721,ZNF780B,ZNF836,ZNF658,ZNF546,ZFP62,ZNF268,ZNF420,ZNF841,ZNF99,ZNF658B,ZNF658B,ZNF160,ZNF624,ZNF107,ZNF808,ZNF43,ZNF347,ZNF585B,ZNF594,ZNF585A,ZNF814,ZNF197,ZNF184,ZNF616,ZNF470,ZNF84,ZNF84,ZNF493,ZNF540,ZNF717,ZNF607,ZNF484,ZNF573,ZNF41,ZNF780A,ZNF571,ZNF615,ZNF665,ZNF283,ZNF761,ZNF569,ZNF33B,ZNF429,ZNF30,ZNF227,ZNF23,ZNF267,ZNF709,ZNF700,ZNF345,ZNF229,ZNF600,ZNF135,ZNF224,ZNF226,ZNF471,ZNF28,ZNF790,ZNF418,ZNF605,ZNF473,ZNF16,ZNF778,ZNF534,ZNF17,ZNF14,ZNF606,ZNF225,ZNF33A,ZNF234,ZNF132,ZFP112,ZFP28,ZNF12,ZNF433,ZNF337,ZNF432,ZNF726,ZNF443,ZNF45,ZNF565,ZNF629,ZNF93,ZFP14,ZNF189,ZNF728,ZNF544,ZNF791,ZNF749,ZNF568,ZNF441,ZNF676,ZNF235,ZNF708,ZNF7
ZBTB49	ZNF91,ZNF177,ZNF679,ZNF429,ZNF675,ZNF226,ZNF732,ZNF681,ZNF729,ZNF43,ZNF85,ZNF436,ZNF430,ZNF726,ZNF253,ZNF100,ZNF676,ZNF234,ZNF596,ZNF782,ZNF891,ZNF93,ZNF737,ZNF431,ZNF98,ZNF227,ZFP2,ZNF16,ZNF506,ZNF479,ZNF678,ZNF208,ZNF235,ZNF135,ZFP112,ZFP62,ZNF492,ZNF92,ZNF79,ZNF566,ZNF836,ZNF214,ZNF714,ZNF708,ZNF568,ZNF229,ZNF813,ZNF71,ZKSCAN7,ZNF852,ZKSCAN8,ZNF728,ZNF45,ZNF572,ZNF658B,ZNF658,ZNF658B,ZNF544,ZNF248,ZNF99,ZSCAN10,ZNF287,ZNF709,ZNF254,ZNF345,ZNF383,ZNF626,ZNF180,ZNF470,ZNF391,ZNF680,ZNF273,ZNF224,ZNF695,ZNF525,ZNF771,ZNF155,ZNF23,ZNF585A,ZNF329,ZNF502,ZNF721,ZNF735,ZNF233,ZNF195,ZSCAN2,ZNF699,ZNF627,ZNF486,ZNF585B,ZNF569,ZNF70,ZNF141,ZNF665,ZNF583,ZNF701,ZNF267,ZFP3,ZNF14,ZNF493
ZNF114	ZNF891,ZNF699,ZNF480,ZNF559,ZNF571,ZNF558,ZNF486,ZNF420,ZNF317,ZNF57,ZNF665,ZNF845,ZNF555,ZNF333,ZNF570,ZNF678,ZNF454,ZNF91,ZNF562,ZNF177,ZNF709,ZNF708,ZNF77,ZNF765,ZNF761,ZNF184,ZNF557,ZNF93,ZNF880,ZNF3,ZNF813,ZNF506,ZNF331,ZNF283,ZNF726,ZNF430,ZNF624,ZNF778,ZNF433,ZNF92,ZNF729,ZNF37A,ZNF253,ZNF90,ZNF626,ZNF415,ZNF470,ZNF30,ZNF732,ZNF10,ZNF440,ZNF569,ZNF189,ZNF583,ZNF737,ZNF429,ZNF100,ZNF98,ZNF675,ZNF582,ZNF527,ZNF627,ZNF728,ZNF616,ZNF773,ZNF34,ZNF479,ZNF566,ZNF836,ZNF436,ZNF439,ZNF468,ZNF485,ZNF43,ZNF25,ZNF19,ZNF181,ZNF528,ZNF471,ZNF311,ZNF713,ZFP14,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF554,ZNF490,ZNF681,ZNF302,ZNF320,ZNF586,ZNF718,ZNF679,ZNF850,ZNF701,ZNF700,ZNF682
ZNF554	ZNF891,ZNF10,ZNF135,ZNF420,ZNF184,ZNF583,ZNF383,ZNF251,ZNF665,ZNF454,ZNF570,ZNF732,ZNF300,ZNF569,ZNF347,ZNF678,ZNF682,ZNF568,ZNF471,ZNF79,ZNF93,ZNF543,ZNF470,ZNF846,ZNF534,ZNF879,ZNF286A,ZNF283,ZFP69,ZNF519,ZNF850,ZNF253,ZNF34,ZNF675,ZNF436,ZNF559,ZNF287,ZNF160,ZNF43,ZNF37A,ZKSCAN7,ZNF189,ZNF41,ZNF480,ZNF626,ZNF813,ZNF30,ZNF429,ZNF571,ZNF141,ZNF157,ZNF695,ZFP69B,ZNF419,ZNF177,ZNF720,ZNF699,ZNF98,ZNF415,ZFP37,ZNF74,ZNF852,ZNF333,ZNF737,ZNF565,ZNF880,ZNF527,ZNF566,ZNF805,ZNF45,ZNF582,ZNF718,ZNF304,ZNF486,ZNF250,ZNF257,ZNF599,ZNF829,ZNF345,ZNF180,ZNF391,ZNF773,ZFP2,ZNF354C,ZNF92,ZNF3,ZNF546,ZNF468,ZNF729,ZNF605,ZNF100,ZNF616,ZNF530,ZNF630,ZNF84,ZNF154,ZNF479,ZNF84,ZNF320,ZNF12
ZNF480	ZNF880,ZNF534,ZNF528,ZNF766,ZNF813,ZNF665,ZNF578,ZNF610,ZNF415,ZNF845,ZNF860,ZNF347,ZNF28,ZNF160,ZNF761,ZNF836,ZNF468,ZNF808,ZNF616,ZNF816,ZNF708,ZNF678,ZNF765,ZNF83,ZNF135,ZNF568,ZNF611,ZNF470,ZNF879,ZNF320,ZNF569,ZNF737,ZNF420,ZNF92,ZNF841,ZNF85,ZNF383,ZNF583,ZNF571,ZNF184,ZNF93,ZNF729,ZNF479,ZNF431,ZNF728,ZNF720,ZNF98,ZNF570,ZNF283,ZNF430,ZNF680,ZNF273,ZKSCAN7,ZNF30,ZNF287,ZNF250,ZNF726,ZNF454,ZNF626,ZNF565,ZNF471,ZNF502,ZNF257,ZNF730,ZNF675,ZNF543,ZNF84,ZNF805,ZNF84,ZNF546,ZNF34,ZNF100,ZFP14,ZNF429,ZNF695,ZNF493,ZNF91,ZNF189,ZFP30,ZNF43,ZNF790,ZNF264,ZNF850,ZNF682,ZNF354B,ZNF251,ZNF99,ZNF624,ZNF732,ZNF519,ZNF90,ZNF492,ZNF780B,ZNF79,ZNF253,ZNF254,ZNF780A,ZNF716,ZNF354C,ZNF677
